"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 11 18:15:22 GMT 2024","Wed Sep 11 18:15:24 GMT 2024","1978","Cadastrar Usuário","","","","","Cadastrar novo usuário",""
"passed","Wed Sep 11 18:15:28 GMT 2024","Wed Sep 11 18:15:35 GMT 2024","6253","Tranferência de valores","","","","","Transferir R$100 para conta Teste",""
"passed","Wed Sep 11 18:15:35 GMT 2024","Wed Sep 11 18:15:40 GMT 2024","5652","Tranferência de valores","","","","","Transferir R$100 com saldo insuficiente",""
