"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 11 18:04:56 GMT 2024","Wed Sep 11 18:05:02 GMT 2024","5817","Tranferência de valores","","","","","Transferir R$100 com saldo insuficiente",""
"passed","Wed Sep 11 18:04:50 GMT 2024","Wed Sep 11 18:04:56 GMT 2024","6184","Tranferência de valores","","","","","Transferir R$100 para conta Teste",""
"passed","Wed Sep 11 18:04:42 GMT 2024","Wed Sep 11 18:04:45 GMT 2024","2463","Cadastrar Usuário","","","","","Cadastrar novo usuário",""
